,brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
72,Huawei,Honor 5A,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,144.2 x 72.5 x 9 mm (5.68 x 2.85 x 0.35 in),Light,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.9% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSD  up to 128 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| 28mm| autofocus| dual-LED flash,5 MP| LED flash,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity| compass,Moderate,Black| White| Gold,Basic,http://cdn2.gsmarena.com/vv/bigpic/huawei-honor-5a-new.jpg
73,Huawei,MediaPad T1 7.0 Plus,GSM / HSPA,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,191.8 x 107 x 8.5 mm (7.55 x 4.21 x 0.33 in),AboveAvg,Single-SIM,IPS LCD capacitive touchscreen  16M colors,7.0 inches (~67.2% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Mali-T720MP2,microSD  up to 64 GB (dedicated slot),16 GB,2 GB RAM,5 MP| autofocus,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer,High,Black/Silver,Basic,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t1-70.jpg
74,Huawei,MediaPad M2 7.0,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,191.8 x 107 x 8.5 mm (7.55 x 4.21 x 0.33 in),Heavy,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,7.0 inches,1200 x 1920 pixels (~323 ppi pixel density),Android 5.1.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSD  up to 256 GB (dedicated slot),16/32 GB,3 GB RAM,13 MP| f/2.0| autofocus| LED flash,5 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (side-mounted)| accelerometer| proximity,High,White| Blue| Gold| Pink,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m2-70.jpg
75,Huawei,Honor 5c,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,147.1 x 73.8 x 8.3 mm (5.79 x 2.91 x 0.33 in),BelowAvg,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.2 inches (~68.7% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 6.0 (Marshmallow)| planned upgrade to 7.0 (Nougat),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830MP2,microSD  up to 256 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| f/2.0| autofocus| LED flash| ,8 MP| f/2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity| compass,High,Silver| Gray| Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-honor-5c-1.jpg
76,Huawei,Y3II,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2016,134.2 x 66.7 x 9.9 mm (5.28 x 2.63 x 0.39 in),Heavy,Dual-SIM,Capacitive touchscreen  16M colors,4.5 inches (~62.3% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53 - 4G model,Mali-T720MP2 - 4G model,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| dual-LED flash,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity,Moderate,Obsidian Black| Arctic White| Sand Gold| Rose Pink| Sky Blue,Basic,http://cdn2.gsmarena.com/vv/bigpic/huawei-y3-2.jpg
77,Huawei,Y5II,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2016,143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in),Light,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53 - 4G model,Mali-T720MP2 - 4G model,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| f/2.0| autofocus| LED flash,2 MP| LED flash,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity| compass,Moderate,Obsidian Black| Arctic White| Sand Gold| Rose Pink| Sky Blue,Basic,http://cdn2.gsmarena.com/vv/bigpic/huawei-y5-2.jpg
78,Huawei,P9 lite,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps,Yes,Yes,2016,146.8 x 72.6 x 7.5 mm (5.78 x 2.86 x 0.30 in),Light,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.2 inches (~69.9% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830MP2,microSD  up to 256 GB (uses SIM 2 slot),16 GB,2/3 GB RAM,13 MP| f/2.0| autofocus| LED flash| ,8 MP| f/2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,High,Black| White| Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-p9-lite-r1.jpg
79,Huawei,P9 Plus,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2016,152.3 x 75.3 x 7 mm (6.00 x 2.96 x 0.28 in),BelowAvg,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~72.7% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Octa-core (4x2.5 GHz Cortex-A72 & 4x1.8 GHz Cortex-A53),Mali-T880 MP4,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4 GB RAM,Dual 12 MP| f/2.2| 27 mm| Leica optics| phase detection & laser autofocus| dual-LED (dual tone) flash| ,8 MP| f/1.9| autofocus| 1080p,Yes with stereo speakers,Yes,Yes,Yes,Yes,Yes,No,Type C 1.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Haze Gold| Quartz Grey| Ceramic White,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-p9-plus.jpg
80,Huawei,P9,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat6 300/50 Mbps,Yes,Yes,2016,145 x 70.9 x 7 mm (5.71 x 2.79 x 0.28 in),Light,Single-SIM,IPS-NEO LCD capacitive touchscreen  16M colors,5.2 inches (~72.9% screen-to-body ratio),1080 x 1920 pixels (~423 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Octa-core (4x2.5 GHz Cortex-A72 & 4x1.8 GHz Cortex-A53),Mali-T880 MP4,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM (EVA-L19/EVA-L09),Dual 12 MP| f/2.2| 27 mm| Leica optics| phase detection & laser autofocus| dual-LED (dual tone) flash| ,8 MP| f/2.4| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,No,Type C 1.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Ceramic White| Haze Gold| Rose Gold| Titanium Grey| Mystic Silver| Prestige Gold| Red| Blue,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-p9r2.jpg
81,Huawei,Honor Holly 2 Plus,GSM / HSPA / LTE,1,1,1,HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016,143.1 x 71.8 x 9.7 mm (5.63 x 2.83 x 0.38 in),BelowAvg,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.2% screen-to-body ratio),720 x 1280 pixels (~296 ppi pixel density),Android 5.1.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| 28mm| autofocus| LED flash,5 MP| f/2.2,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity,High,Gray| Gold| White,Basic,http://cdn2.gsmarena.com/vv/bigpic/huawei-honor-holly2-plus.jpg
