,brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
0,Apple,iPad Pro 12.9,GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017,305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in),Heavy,E-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,12.9 inches (~76.4% screen-to-body ratio),2732 x 2048 pixels (~265 ppi pixel density),iOS 10.3.2,2360 MHz(Cores: 3),A11 GPU,No,64/256/512 GB,4GB RAM,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers (4 speakers),Yes,Yes,Yes,Yes,Yes,No,microUSB 3.0,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Super High,Space Gray| Gold| Silver,Super High,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2017.jpg
1,Apple,iPad Pro 10.5,GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017,250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in),Heavy,E-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,10.5 inches (~78.3% screen-to-body ratio),1668 x 2224 pixels (~265 ppi pixel density),iOS 10.3.2,2360 MHz(Cores: 3),A 10 GPU,No,64/256/512 GB,4GB RAM,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers (4 speakers),Yes,Yes,Yes,Yes,Yes,No,microUSB 3.0,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Super High,Space Gray| Rose Gold| Gold| Silver,Super High,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-105-2017.jpg
2,Apple,iPad 9.7,GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017,240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in),Heavy,E-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,9.7 inches (~71.6% screen-to-body ratio),1536 x 2048 pixels (~264 ppi pixel density),iOS 10.3| upgradable to iOS 10.3.2,Dual-core 1.84 GHz (Twister),PowerVR GT7600 (six-core graphics),No,32/128 GB,2 GB RAM,8 MP| f/2.4| 31mm| autofocus,1.2 MP| f/2.2| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Yes with stereo speakers,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Super High,Silver| Gold| Space Gray,High,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2017.jpg
3,Huawei,Honor 9,GSM / CDMA / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,147.3 x 70.9 x 7.5 mm (5.80 x 2.79 x 0.30 in),BelowAvg,Dual-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.15 inches (~70.0% screen-to-body ratio),1080 x 1920 pixels (~428 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G71 MP8,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4/6 GB RAM or 128 GB| 6 GB RAM,Dual 20MP + 12 MP| f/2.2| phase detection autofocus| 2x optical zoom| dual-LED (dual tone) flash,8 MP| f/2.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Type C 1.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Amber Gold| Seagull Grey| Charm Sea Blue,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-honor-9-.jpg
4,Huawei,Y7 Prime,GSM / CDMA / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,153.6 x 76.4 x 8.4 mm (6.05 x 3.01 x 0.33 in),BelowAvg,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.1% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM,12 MP| f/2.2| phase detection autofocus| LED flash,8 MP| f/2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,High,Silver| gray| gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-enjoy-7-plus-new.jpg
5,Huawei,MediaPad M3 Lite 8,GSM / CDMA / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,213.3 x 123.3 x 7.5 mm (8.40 x 4.85 x 0.30 in),Heavy,Single-SIM,S-IPS LCD capacitive touchscreen  16M colors,8.0 inches (~70.6% screen-to-body ratio),1200 x 1920 pixels (~283 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSD  up to 256 GB,32 GB,3 GB RAM or 64 GB| 4 GB RAM,8 MP| autofocus,8 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer| proximity,High,Gold| white| space grey,Super High,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m3-8-lite.jpg
6,Huawei,MediaPad T3 10,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,229.8 x 159.8 x 8 mm (9.05 x 6.29 x 0.31 in),Heavy,Single-SIM,IPS LCD capacitive touchscreen  16M colors,9.6 inches| 9.6 (~72.8% screen-to-body ratio),800 x 1280 pixels (~157 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,Adreno 308,No,16 GB,2 GB RAM or 32 GB| 3 RAM,5 MP| autofocus,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer,High,Space Gray| Luxurious Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t3-10.jpg
7,Huawei,MediaPad M3 Lite 10,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,241.3 x 171.5 x 7.1 mm (9.50 x 6.75 x 0.28 in),Heavy,Single-SIM,IPS LCD capacitive touchscreen  16M colors,10.1 inches (~71.5% screen-to-body ratio),1200 x 1920 pixels (~224 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Adreno 505,No,16/32 GB,3 GB RAM or 64 GB| 4 GB RAM,8 MP| autofocus,8 MP,Yes with stereo speakers (4 speakers),Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer| proximity| gyro (Bach-L09 only),Super High,Gold| white| space grey,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m3-10-lite.jpg
8,Huawei,nova 2 plus,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,153.9 x 74.9 x 6.9 mm (6.06 x 2.95 x 0.27 in),BelowAvg,Dual-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.5 inches (~72.3% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830 MP2,microSD  up to 256 GB (uses SIM 2 slot),128 GB,4 GB RAM,Dual 12 + 8 MP| f/1.8| phase detection autofocus| LED flash,20 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Aurora Blue| Grass Green| Streamer Gold| Obsidian Black| Rose Gold,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-nova-2-plus.jpg
9,Huawei,nova 2,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,142.2 x 68.9 x 6.9 mm (5.60 x 2.71 x 0.27 in),Light,Dual-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.0 inches (~69.7% screen-to-body ratio),1080 x 1920 pixels (~443 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830 MP2,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4 GB RAM,Dual 12 + 8 MP| f/1.8| phase detection autofocus| LED flash,20 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Aurora Blue| Grass Green| Streamer Gold| Obsidian Black| Rose Gold,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-nova-2.jpg
10,Huawei,MediaPad T3 8.0,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,211.1 x 124.7 x 8 mm (8.31 x 4.91 x 0.31 in),Heavy,Single-SIM,IPS LCD capacitive touchscreen  16M colors,8.0 inches (~70.5% screen-to-body ratio),800 x 1280 pixels (~189 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,Adreno 308,No,16 GB,2 GB RAM or 32 GB| 3 GB RAM,5 MP| autofocus,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer,High,Space Gray| Luxurious Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t3-8.jpg
11,Huawei,MediaPad T3 7.0,No cellular connectivity,0,0,0,0,No,No,2017,179 x 103.7 x 8.6 mm (7.05 x 4.08 x 0.34 in),AboveAvg,No-SIM,IPS LCD capacitive touchscreen  16M colors,7.0 inches (~74.3% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,Mali-450MP4,No,8 GB,1 GB RAM or 16 GB| 2 GB RAM,2 MP,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer,High,Gray,Basic,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t3-7-.jpg
12,Huawei,Y7,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,153.6 x 76.4 x 8.4 mm (6.05 x 3.01 x 0.33 in),BelowAvg,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.1% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSD  up to 256 GB (uses SIM 2 slot),16 GB,2 GB RAM,12 MP| f/2.2| phase detection autofocus| LED flash,8 MP| f/2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity| compass,High,Grey/Prestige| Gold/Silver,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-y7-.jpg
13,Huawei,Honor 6A,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,143.7 x 71 x 8.2 mm (5.66 x 2.80 x 0.32 in),Light,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.5 GHz Cortex-A53,Adreno 505,microSD  up to 256 GB (uses SIM 2 slot),16 GB,2 GB RAM or 32 GB| 3 RAM,13 MP| 28mm| phase detection autofocus| LED flash,5 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,High,Gold| Silver| Blue| Pink,Super High,http://cdn2.gsmarena.com/vv/bigpic/huawei-nonor-6a.jpg
14,Huawei,Y6 (2017),GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,143.8 x 72 x 8.4 mm (5.66 x 2.83 x 0.33 in),Heavy,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.4 GHz Cortex-A53,Mali-T720MP2,microSD  up to 128 GB,16 GB,2 GB RAM,13 MP| autofocus| dual-LED flash,5 MP| LED flash,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity| compass,High,White| Gold| Gray,Super High,http://cdn2.gsmarena.com/vv/bigpic/huawei-y6-2017.jpg
15,Huawei,Y5 (2017),GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,143.8 x 72 x 8.4 mm (5.66 x 2.83 x 0.33 in),Heavy,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.4 GHz Cortex-A53,Mali-T720MP2,microSD  up to 128 GB,16 GB,2 GB RAM,8 MP| f/2.0| autofocus| dual-LED flash,5 MP| LED flash,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity| compass,High,Gold| Pink| Blue| White| Gray,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-y5-2017.jpg
16,Huawei,Y3 (2017),GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,145.1 x 73.7 x 9.5 mm (5.71 x 2.90 x 0.37 in),BelowAvg,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.4% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.1 GHz Cortex-A53,Mali-T720MP2,microSD  up to 128 GB,8 GB,1 GB RAM,8 MP| f/2.0| autofocus| LED flash,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer| proximity,Moderate,Gold| Pink| Blue| White| Gray,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-y3-2017-.jpg
17,Huawei,Honor 8 Pro,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat12 600/150 Mbps,Yes,Yes,2017,157 x 77.5 x 7 mm (6.18 x 3.05 x 0.28 in),BelowAvg,Dual-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.7 inches (~73.6% screen-to-body ratio),1440 x 2560 pixels (~515 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G71 MP8,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4/6 GB RAM,Dual 12 MP| f/2.2| phase detection and laser autofocus| dual-LED (dual tone) flash| ,8 MP| f/2.0| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Pearl White| Midnight Black| Navy Blue,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8-pro.jpg
18,Huawei,Watch 2 Classic,No cellular connectivity,0,0,0,0,No,No,2017,48.9 x 45 x 12.6 mm (1.93 x 1.77 x 0.50 in),Light,No-SIM,AMOLED capacitive touchscreen  16M colors,1.2 inches (~21.1% screen-to-body ratio),390 x 390 pixels (~460 ppi pixel density),Android Wear OS 2.0,Quad-core 1.1 GHz,No,No,4 GB,768 MB RAM,0,0,Yes,No,Yes,Yes,Yes,No,No,0,Accelerometer| gyro| heart rate| barometer| compass,Basic,Titanium Grey,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-watch-2-active.jpg
19,Huawei,Watch 2,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,48.9 x 45 x 12.6 mm (1.93 x 1.77 x 0.50 in),Light,E-SIM,AMOLED capacitive touchscreen  16M colors,1.2 inches (~42.0% screen-to-body ratio),390 x 390 pixels (~326 ppi pixel density),Android Wear OS 2.0,Quad-core 1.1 GHz,No,No,4 GB,768 MB RAM,0,0,Yes,No,Yes,Yes,Yes,Yes,No,0,Accelerometer| gyro| heart rate| barometer| compass,Basic,Dynamic Orange| Carbon Black| Concrete Grey,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-watch-2-.jpg
20,Huawei,P10 Plus,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in),BelowAvg,Single-SIM,IPS-NEO LCD capacitive touchscreen  16M colors,5.5 inches (~71.6% screen-to-body ratio),1440 x 2560 pixels (~540 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G71 MP8,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4 GB RAM (L09) or 128 GB| 6 GB RAM (L29),Dual 20 MP + 12 MP| f/1.8| OIS| Leica optics| phase detection and laser autofocus| dual-LED (dual tone) flash| ,8 MP| f/1.9,Yes with stereo speakers,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Ceramic White| Dazzling Blue| Dazzling Gold| Graphite Black| Mystic Silver| Rose Gold| Greenery,Super High,http://cdn2.gsmarena.com/vv/bigpic/huawei-p10-plus-r1.jpg
21,Huawei,P10,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,145.3 x 69.3 x 7 mm (5.72 x 2.73 x 0.28 in),Light,Single-SIM,IPS-NEO LCD capacitive touchscreen  16M colors,5.1 inches (~71.2% screen-to-body ratio),1080 x 1920 pixels (~432 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G71 MP8,microSD  up to 256 GB (uses SIM 2 slot),32/64 GB,4 GB RAM,Dual 20 MP + 12 MP| f/2.2| OIS| Leica optics| phase detection and laser autofocus| dual-LED (dual tone) flash| ,8 MP| f/1.9,Yes,Yes,Yes,Yes,Yes,Yes,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Mystic Silver| Rose Gold| Graphite Black| Dazzling Gold| Dazzling Blue| Greenery,Super High,http://cdn2.gsmarena.com/vv/bigpic/huawei-p10-.jpg
22,Huawei,P10 Lite,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2017,146.5 x 72 x 7.2 mm (5.77 x 2.83 x 0.28 in),Light,Single-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.2 inches (~70.7% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830MP2,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3/4 GB,12 MP| f/2.2| phase detection autofocus| LED flash| ,8 MP| autofocus| f/2.0| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Pearl White| Graphite Black| Platinum Gold| Sapphire Blue,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-p10-lite.jpg
23,Huawei,P8 Lite (2017),GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,147.2 x 72.9 x 7.6 mm (5.80 x 2.87 x 0.30 in),Light,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.2 inches (~69.5% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.1 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830MP2,microSD  up to 256 GB (uses SIM 2 slot),16 GB,3 GB RAM,12 MP| autofocus| LED flash,8 MP| f/2.0| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,High,Black| White| Gold| Blue (India),Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-p8-lite-2017.jpg
24,Samsung,Galaxy J7 Max,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,156.7 x 78.8 x 8.1 mm (6.17 x 3.10 x 0.32 in),BelowAvg,Dual-SIM,PLS capacitive touchscreen  16M colors,5.7 inches (~72.5% screen-to-body ratio),1080 x 1920 pixels (~386 ppi pixel density),Android 7.0 (Nougat),Octa-core 2.4 GHz Cortex-A53,Mali-T880MP2,microSD  up to 256 GB (dedicated slot),32 GB,4 GB RAM,13 MP| f/1.7| autofocus| LED flash,13 MP| f/1.9| LED flash,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Black| Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-max.jpg
25,Samsung,Galaxy J7 Pro,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2017,152.4 x 74.7 x 7.9 mm (6.00 x 2.94 x 0.31 in),Heavy,Dual-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~73.3% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP2,microSD  up to 256 GB,64 GB,3 GB RAM,13 MP| f/1.7| autofocus| LED flash,13 MP| f/1.9| LED flash,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Black| Gold,Super High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-pro.jpg
26,Samsung,Galaxy J7 (2017),GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2017,152.4 x 74.7 x 7.9 mm (6.00 x 2.94 x 0.31 in),Heavy,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~73.3% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 7.1 (Nougat),Octa-core 1.6 GHz Cortex-A53,Mali-T830MP2,microSD  up to 256 GB (dedicated slot),16 GB,3 GB RAM - Global,13 MP| f/1.7| autofocus| LED flash,13 MP| f/1.9| LED flash| 1080p,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Blue| Pink| Gold| Black,High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-2017-sm-j730f.jpg
27,Samsung,Galaxy J5 (2017),GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2017,146.2 x 71.3 x 7.9 mm (5.76 x 2.81 x 0.31 in),Heavy,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.2 inches (~71.5% screen-to-body ratio),720 x 1280 pixels (~282 ppi pixel density),Android 7.1 (Nougat),Octa-core 1.6 GHz Cortex-A53,Mali-T830MP2,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM - Global,13 MP| f/1.7| autofocus| LED flash,13 MP| f/1.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Blue| Pink| Gold| Black,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j5-2017-sm-j530.jpg
28,Samsung,Galaxy J3 (2017),GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,143.2 x 70.3 x 7.9 mm (5.64 x 2.77 x 0.31 in),Light,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.0 inches (~68.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,Mali-T830MP3,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/1.9| autofocus| LED flash,5 MP| f/2.2| LED flash,Yes,Yes,Yes,Yes,Yes,Yes,Yes,microUSB 2.0,Accelerometer| proximity,Moderate,White| Black| Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j3-2017.jpg
29,Samsung,Galaxy S8,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (4CA) Cat16 1024/150 Mbps,Yes,Yes,2017,148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in),BelowAvg,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,5.8 inches (~83.6% screen-to-body ratio),1440 x 2960 pixels (~570 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.3 GHz & 4x1.7 GHz) - EMEA,Mali-G71 MP20 - EMEA,microSD  up to 256 GB (dedicated slot) - single-SIM model,64 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash| ,8 MP| f/1.7| autofocus| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,Type C 1.0,Iris scanner| fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,Midnight Black| Orchid Gray| Arctic Silver| Coral Blue| Maple Gold,Super High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s8-.jpg
30,Samsung,Galaxy S8+,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (4CA) Cat16 1024/150 Mbps,Yes,Yes,2017,159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in),BelowAvg,Single-SIM,Super AMOLED capacitive touchscreen  16M colors,6.2 inches (~84.0% screen-to-body ratio),1440 x 2960 pixels (~529 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.3 GHz & 4x1.7 GHz) - EMEA,Mali-G71 MP20 - EMEA,microSD  up to 256 GB (dedicated slot) - single-SIM model,64 GB,4 GB RAM or 128 GB| 6 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash| ,8 MP| f/1.7| autofocus| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Yes,Yes,Yes,Yes,No,Type C 1.0,Iris scanner| fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,High,Midnight Black| Orchid Gray| Arctic Silver| Coral Blue| Maple Gold| Rose Pink,Super High,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s8-plus-.jpg
